datetime,atr
2021-07-15,3.2390
2021-07-16,3.3589
2021-07-19,3.7638
2021-07-20,4.0136
2021-07-21,3.9789
2021-07-22,3.8334
2021-07-23,3.8903
2021-07-26,3.7333
2021-07-27,3.8103
2021-07-28,3.7424
2021-07-29,3.6780
2021-07-30,3.6121
2021-08-02,3.6082
2021-08-03,3.7044
2021-08-04,3.6052
2021-08-05,3.5437
2021-08-06,3.3712
2021-08-09,3.2319
2021-08-10,3.1076
2021-08-11,2.9719
2021-08-12,2.9370
2021-08-13,2.7867
2021-08-16,2.8773
2021-08-17,3.0899
2021-08-18,3.2590
2021-08-19,3.3692
2021-08-20,3.4018
2021-08-23,3.4916
2021-08-24,3.3296
2021-08-25,3.2071
2021-08-26,3.1659
2021-08-27,3.2397
2021-08-30,3.2009
2021-08-31,3.0796
2021-09-01,2.9665
2021-09-02,2.9084
2021-09-03,2.8427
2021-09-07,2.7994
2021-09-08,2.7914
2021-09-09,2.8551
2021-09-10,3.0734
2021-09-13,3.1825
2021-09-14,3.3050
2021-09-15,3.4085
2021-09-16,3.4615
2021-09-17,3.5370
2021-09-20,4.1439
2021-09-21,4.1796
2021-09-22,4.3198
2021-09-23,4.4931
2021-09-24,4.4093
2021-09-27,4.2417
2021-09-28,4.6036
2021-09-29,4.5024
2021-09-30,4.7284
2021-10-01,4.9941
2021-10-04,5.1775
2021-10-05,5.2772
2021-10-06,5.4198
2021-10-07,5.4974
2021-10-08,5.2898
2021-10-11,5.2985
2021-10-12,5.1476
2021-10-13,5.0891
2021-10-14,5.2383
2021-10-15,5.1218
2021-10-18,5.0494
2021-10-19,4.9300
2021-10-20,4.7212
2021-10-21,4.5566
2021-10-22,4.4793
2021-10-25,4.3999
2021-10-26,4.2872
2021-10-27,4.2071
2021-10-28,4.2123
2021-10-29,4.1856
2021-11-01,4.0582
2021-11-02,3.9184
2021-11-03,3.9346
2021-11-04,3.8099
2021-11-05,3.7941
2021-11-08,3.6620
2021-11-09,3.6534
2021-11-10,3.7584
2021-11-11,3.6044
2021-11-12,3.6273
2021-11-15,3.5451
2021-11-16,3.5259
2021-11-17,3.3975
2021-11-18,3.4063
2021-11-19,3.3303
2021-11-22,3.5167
2021-11-23,3.5839
2021-11-24,3.6281
2021-11-26,4.1689
2021-11-29,4.3913
2021-11-30,4.7151
2021-12-01,5.3640
2021-12-02,5.5813
2021-12-03,5.9627
2021-12-06,6.0419
2021-12-07,6.3112
2021-12-08,6.0777
2021-12-09,5.8828
2021-12-10,5.7744
2021-12-13,5.6684
2021-12-14,5.6967
2021-12-15,5.9834
2021-12-16,6.1092
2021-12-17,6.1364
2021-12-20,6.2986
2021-12-21,6.4148
2021-12-22,6.3164
2021-12-23,6.1747
2021-12-27,6.1952
2021-12-28,5.9419
2021-12-29,5.6991
2021-12-30,5.5210
2021-12-31,5.2773
2022-01-03,5.1755
2022-01-04,5.1085
2022-01-05,5.4108
2022-01-06,5.3951
2022-01-07,5.3227
2022-01-10,5.5955
2022-01-11,5.7324
2022-01-12,5.6160
2022-01-13,5.8642
2022-01-14,5.8023
2022-01-18,6.0351
2022-01-19,6.1648
2022-01-20,6.7040
2022-01-21,6.9206
2022-01-24,7.7759
2022-01-25,8.0934
2022-01-26,8.5595
2022-01-27,8.7831
2022-01-28,9.1312
2022-01-31,9.1992
2022-02-01,9.0024
2022-02-02,8.7150
2022-02-03,8.8932
2022-02-04,8.8736
2022-02-07,8.5933
2022-02-08,8.4404
2022-02-09,8.3149
2022-02-10,8.4439
2022-02-11,8.7120
2022-02-14,8.5203
2022-02-15,8.4111
2022-02-16,8.2309
2022-02-17,8.3433
2022-02-18,8.2178
2022-02-22,8.2939
2022-02-23,8.5208
2022-02-24,9.1586
2022-02-25,9.1909
2022-02-28,9.0503
2022-03-01,9.0958
2022-03-02,9.1161
2022-03-03,8.9678
2022-03-04,8.8659
2022-03-07,9.1228
2022-03-08,9.3028
2022-03-09,9.5505
2022-03-10,9.3477
2022-03-11,9.3156
2022-03-14,9.2528
2022-03-15,9.2687
2022-03-16,9.3551
2022-03-17,9.2289
2022-03-18,9.0969
2022-03-21,8.8459
2022-03-22,8.6412
2022-03-23,8.4296
2022-03-24,8.2898
2022-03-25,8.0116
2022-03-28,7.8430
2022-03-29,7.7078
2022-03-30,7.5081
2022-03-31,7.4962
2022-04-01,7.2588
2022-04-04,7.0612
2022-04-05,7.1095
2022-04-06,7.1233
2022-04-07,7.1085
2022-04-08,6.9244
2022-04-11,6.9942
2022-04-12,7.1225
2022-04-13,7.0464
2022-04-14,7.0295
2022-04-18,6.8130
2022-04-19,6.8867
2022-04-20,6.6770
2022-04-21,7.0908
2022-04-22,7.4566
2022-04-25,7.6037
